19:15:32.657 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ujcompany.journalApp.service.EmailServiceTest], using SpringBootContextLoader
19:15:34.502 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=367963125, setName='atlas-r73uja-shard-0', canonicalAddress=ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017, hosts=[ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=68e29f4bf1f2c855f9c07bda, counter=3}, lastWriteDate=Mon Oct 06 19:15:33 IST 2025, lastUpdateTimeNanos=50728574092625}
19:15:34.502 [cluster-rtt-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:114525}] to ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017
19:15:34.539 [cluster-rtt-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:113291}] to ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017
19:15:35.190 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:117082}] to ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:35.741 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65d73bd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27896d3b, org.springframework.security.web.context.SecurityContextPersistenceFilter@5ed31735, org.springframework.security.web.header.HeaderWriterFilter@4d67d5a4, org.springframework.security.web.authentication.logout.LogoutFilter@26d40c77, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2342f1ff, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@668a32a4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@15586843, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ed7dd70, org.springframework.security.web.session.SessionManagementFilter@41bb1f09, org.springframework.security.web.access.ExceptionTranslationFilter@2262f0d8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5112b7]
19:15:35.958 [main] INFO  c.u.j.service.EmailServiceTest - Started EmailServiceTest in 3.193 seconds (JVM running for 3.683)
19:15:55.155 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ujcompany.journalApp.service.EmailServiceTest], using SpringBootContextLoader
19:15:55.157 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.ujcompany.journalApp.service.EmailServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:15:55.157 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.ujcompany.journalApp.service.EmailServiceTest]: EmailServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:15:55.205 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.ujcompany.journalApp.JournalApplication for test class com.ujcompany.journalApp.service.EmailServiceTest
19:15:55.235 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
19:15:55.241 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5b07730f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1fdfafd2, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@a4b2d8f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@dcfda20, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6d304f9d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f73dcd6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5c87bfe2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2fea7088, org.springframework.test.context.event.EventPublishingTestExecutionListener@40499e4f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@51cd7ffc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@30d4b288, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4cc6fa2a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@40f1be1b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7a791b66, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6f2cb653]
19:15:55.259 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
19:15:55.384 [main] INFO  c.u.j.service.EmailServiceTest - Starting EmailServiceTest using Java 25 on Ujjawals-MacBook-Air.local with PID 4425 (started by ujjawalsingh in /Users/ujjawalsingh/Downloads/journalApp)
19:15:55.384 [main] INFO  c.u.j.service.EmailServiceTest - The following 1 profile is active: "dev"
19:15:55.584 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
19:15:55.606 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 3 MongoDB repository interfaces.
19:15:56.124 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "26.0"}, "platform": "Java/Oracle Corporation/25+37-LTS-3491", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='UjjawalFirst', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@6a6c7f42]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.8vbmwse.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-r73uja-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
19:15:56.228 [main] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
19:15:56.408 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-srv-cluster0.8vbmwse.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017 to client view of cluster
19:15:56.418 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-srv-cluster0.8vbmwse.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017 to client view of cluster
19:15:56.419 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-srv-cluster0.8vbmwse.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017 to client view of cluster
19:15:56.422 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@3e28d779 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
19:15:56.946 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:113345}] to ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017
19:15:56.946 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:114582}] to ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017
19:15:56.946 [cluster-rtt-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:117161}] to ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:56.946 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:117164}] to ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:56.946 [cluster-rtt-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:113345}] to ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017
19:15:56.947 [cluster-ClusterId{value='68e3c814cfbfb901cfb3a62d', description='null'}-ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=328458375, setName='atlas-r73uja-shard-0', canonicalAddress=ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017, hosts=[ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=68e29f4bf1f2c855f9c07bda, counter=3}, lastWriteDate=Mon Oct 06 19:15:56 IST 2025, lastUpdateTimeNanos=50751018338291}
